Question,Option A,Option B,Option C,Option D,Correct Answer,Letter Answer,Subject,SLO,SLO Description,Chapter,Explanation
The study of tissues is,cytology,histology,surface anatomy,molecular biology,histology,B,D - Histology & Integumentary System,AP-19-D-01-01,Define the term tissue and identify the four primary tissue types.,Chapter 5: Tissues (Histology),Histology is the branch of anatomy focused on the microscopic structure organization and function of biological tissues.
Which kinds of tissues are considered to be connective tissue?,blood,tendons,bones,all of the above,all of the above,D,D - Histology & Integumentary System,AP-19-D-03-04,Identify examples of each type of connective tissue.,Chapter 5: Tissues (Histology),Connective tissue encompasses a broad diversity of specialized tissues including fluid connective tissue (blood) dense connective tissue (tendons) and rigid supportive connective tissue (bones).
Which type of muscle tissue can be controlled by conscious effort?,skeletal muscle tissue,smooth muscle tissue,cardiac muscle tissue,all of the above,skeletal muscle tissue,A,D - Histology & Integumentary System,AP-19-D-04-03,Identify examples of each type of muscle tissue.,Chapter 5: Tissues (Histology),Skeletal muscle is under voluntary (conscious) control by the somatic nervous system whereas smooth and cardiac muscles are involuntary.
Which type of intercellular junction creates an impermeable barrier preventing extracellular fluid from leaking between adjacent epithelial cells?,desmosome,gap junction,tight junction,hemidesmosome,tight junction,C,D - Histology & Integumentary System,AP-19-D-01-02,Describe intercellular junctions and their functional roles.,Chapter 5: Tissues (Histology),Tight junctions closely join membranes of adjacent cells to form leak-proof seals preventing movement of substances through intercellular spaces.
Tubular channels called connexons that allow ions and small molecules to pass directly between adjacent cardiac muscle cells are called,desmosomes,gap junctions,tight junctions,basement membranes,gap junctions,B,D - Histology & Integumentary System,AP-19-D-01-02,Describe intercellular junctions and their functional roles.,Chapter 5: Tissues (Histology),Gap junctions form protein channels between adjacent cells enabling rapid electrical communication and metabolic coupling.
Epithelial tissues are characterized by being avascular which means they,lack nerve fibers,contain multiple cell types,lack blood vessels and receive nutrients by diffusion,cannot divide or regenerate,lack blood vessels and receive nutrients by diffusion,C,D - Histology & Integumentary System,AP-19-D-02-01,Describe the general characteristics functions and locations of epithelial tissue.,Chapter 5: Tissues (Histology),Avascular tissues lack a direct blood supply; epithelial cells rely on nutrients diffusing from blood vessels located in underlying connective tissue across the basement membrane.
Which type of epithelial tissue forms a single layer of flattened cells ideal for rapid diffusion and filtration in alveoli and capillaries?,Simple squamous epithelium,Stratified squamous epithelium,Simple cuboidal epithelium,Transitional epithelium,Simple squamous epithelium,A,D - Histology & Integumentary System,AP-19-D-02-02,Classify epithelial tissue based on cell shape and layer count.,Chapter 5: Tissues (Histology),Simple squamous epithelium consists of a single delicate layer of flat cells optimized for rapid diffusion of gases and solutes in lung alveoli and capillaries.
The urinary bladder is lined with which specialized epithelial tissue that can stretch and change shape as the organ expands?,Pseudostratified columnar epithelium,Transitional epithelium,Simple columnar epithelium,Stratified cuboidal epithelium,Transitional epithelium,B,D - Histology & Integumentary System,AP-19-D-02-02,Classify epithelial tissue based on cell shape and layer count.,Chapter 5: Tissues (Histology),Transitional epithelium (urothelium) is adapted to distension changing from cuboidal-looking layers when empty to thinner flattened layers when stretched.
Glands that release their secretory products along with entire disintegrating cells are classified as,merocrine glands,apocrine glands,holocrine glands,endocrine glands,holocrine glands,C,D - Histology & Integumentary System,AP-19-D-02-03,Distinguish between exocrine and endocrine glands and classify exocrine secretion mechanisms.,Chapter 5: Tissues (Histology),Holocrine glands (such as sebaceous glands) release entire ruptured secretory cells that disintegrate to release their accumulated secretions.
Which cell type is the most common fixed cell in connective tissue and produces protein fibers and ground substance?,Macrophage,Fibroblast,Mast cell,Plasma cell,Fibroblast,B,D - Histology & Integumentary System,AP-19-D-03-02,Describe the cells and extracellular matrix of connective tissue.,Chapter 5: Tissues (Histology),Fibroblasts are large star-shaped resident cells that synthesize the extracellular matrix components including collagenous elastic and reticular fibers.
Tendons and ligaments derive their high tensile strength primarily from dense regular bundles of which protein fiber?,Elastic fibers,Collagenous fibers,Reticular fibers,Keratin fibers,Collagenous fibers,B,D - Histology & Integumentary System,AP-19-D-03-02,Describe the cells and extracellular matrix of connective tissue.,Chapter 5: Tissues (Histology),Collagenous fibers are thick flexible strands of collagen protein organized into parallel bundles in dense regular connective tissue providing high tensile strength.
Which type of cartilage contains abundant collagen fibers and acts as a shock absorber in intervertebral discs and the pubic symphysis?,Hyaline cartilage,Elastic cartilage,Fibrocartilage,Reticular cartilage,Fibrocartilage,C,D - Histology & Integumentary System,AP-19-D-03-03,Compare and contrast types of cartilage and bone.,Chapter 5: Tissues (Histology),Fibrocartilage is a dense tough form of cartilage containing coarse collagen fibers that withstands high compression and stress in intervertebral discs.
Membranes that line body cavities that do NOT open directly to the outside and secrete watery fluid to reduce friction are,mucous membranes,serous membranes,cutaneous membranes,synovial membranes,serous membranes,B,D - Histology & Integumentary System,AP-19-D-06-01,Describe the four major types of membranes.,Chapter 5: Tissues (Histology),Serous membranes line closed body cavities (pleural pericardial peritoneal) and consist of simple squamous epithelium that secretes lubricating serous fluid.
Microscopic structures called intercalated discs containing gap junctions and desmosomes are a defining characteristic of which tissue?,Skeletal muscle tissue,Smooth muscle tissue,Cardiac muscle tissue,Dense regular connective tissue,Cardiac muscle tissue,C,D - Histology & Integumentary System,AP-19-D-04-02,Identify structural features of muscle tissue.,Chapter 5: Tissues (Histology),Intercalated discs join adjacent cardiac muscle cells end-to-end housing desmosomes for physical hold and gap junctions for synchronized electrical depolarization.
Which cells in nervous tissue support protect nourish and insulate neurons but do not generate action potentials?,Fibroblasts,Neuroglia,Microvilli,Chondrocytes,Neuroglia,B,D - Histology & Integumentary System,AP-19-D-05-01,Describe the structure and function of neurons and neuroglia.,Chapter 5: Tissues (Histology),Neuroglial cells (glia) support nourish protect and insulate neurons maintaining homeostasis in the nervous system.
